Model	Iteration	Value	RNFL	GCIPL	INL	OPL	ONL	EZ	RPE
oct-sam-pretrained-v2	1	precision	0.758	0.498	0.347	0.233	0.099	0.085	1.0
oct-sam-pretrained-v2	2	precision	0.81	0.628	0.433	0.298	0.082	0.071	0.975
oct-sam-pretrained-v2	3	precision	0.754	0.683	0.338	0.336	0.129	0.094	1.0
oct-sam-pretrained-v2	4	precision	0.835	0.714	0.317	0.255	0.084	0.147	0.95
oct-sam-pretrained-v2	1	recall	0.817	0.75	0.5	0.375	0.242	0.115	1.0
oct-sam-pretrained-v2	2	recall	0.842	0.9	0.6	0.45	0.229	0.073	1.0
oct-sam-pretrained-v2	3	recall	0.792	0.8	0.55	0.475	0.275	0.082	1.0
oct-sam-pretrained-v2	4	recall	0.942	0.95	0.45	0.45	0.225	0.115	1.0
oct-sam-pretrained-v2	1	f1-score	0.758	0.546	0.387	0.254	0.132	0.095	1.0
oct-sam-pretrained-v2	2	f1-score	0.821	0.684	0.469	0.322	0.117	0.071	0.983
oct-sam-pretrained-v2	3	f1-score	0.737	0.717	0.383	0.357	0.166	0.083	1.0
oct-sam-pretrained-v2	4	f1-score	0.845	0.767	0.348	0.282	0.115	0.108	0.967
oct-sam-pre-v2-n001	1	precision	0.85	0.7	0.303	0.252	0.124	0.022	0.967
oct-sam-pre-v2-n001	2	precision	0.797	0.731	0.426	0.286	0.134	0.038	0.942
oct-sam-pre-v2-n001	3	precision	0.762	0.784	0.425	0.276	0.122	0.02	0.938
oct-sam-pre-v2-n001	4	precision	0.757	0.623	0.42	0.35	0.246	0.096	0.942
oct-sam-pre-v2-n001	1	recall	0.792	0.95	0.475	0.375	0.271	0.033	1.0
oct-sam-pre-v2-n001	2	recall	0.842	0.9	0.65	0.4	0.321	0.086	1.0
oct-sam-pre-v2-n001	3	recall	0.842	1.0	0.725	0.4	0.283	0.065	1.0
oct-sam-pre-v2-n001	4	recall	0.742	1.0	0.65	0.55	0.337	0.083	1.0
oct-sam-pre-v2-n001	1	f1-score	0.808	0.765	0.331	0.277	0.149	0.027	0.975
oct-sam-pre-v2-n001	2	f1-score	0.777	0.778	0.467	0.308	0.169	0.045	0.958
oct-sam-pre-v2-n001	3	f1-score	0.731	0.837	0.468	0.293	0.15	0.03	0.953
oct-sam-pre-v2-n001	4	f1-score	0.721	0.705	0.457	0.377	0.236	0.075	0.958
oct-sam-pre-v2-n005	1	precision	0.917	0.705	0.655	0.377	0.206	0.092	1.0
oct-sam-pre-v2-n005	2	precision	0.95	0.56	0.754	0.342	0.259	0.069	1.0
oct-sam-pre-v2-n005	3	precision	0.91	0.758	0.765	0.249	0.206	0.038	1.0
oct-sam-pre-v2-n005	4	precision	0.911	0.754	0.789	0.299	0.253	0.112	1.0
oct-sam-pre-v2-n005	1	recall	0.892	0.85	0.775	0.5	0.421	0.083	1.0
oct-sam-pre-v2-n005	2	recall	0.892	0.75	0.925	0.65	0.538	0.115	1.0
oct-sam-pre-v2-n005	3	recall	0.958	0.9	0.925	0.525	0.538	0.082	1.0
oct-sam-pre-v2-n005	4	recall	0.958	0.85	0.95	0.525	0.55	0.128	1.0
oct-sam-pre-v2-n005	1	f1-score	0.883	0.731	0.658	0.394	0.222	0.069	1.0
oct-sam-pre-v2-n005	2	f1-score	0.908	0.606	0.764	0.403	0.318	0.08	1.0
oct-sam-pre-v2-n005	3	f1-score	0.892	0.8	0.806	0.298	0.262	0.048	1.0
oct-sam-pre-v2-n005	4	f1-score	0.906	0.778	0.833	0.346	0.29	0.102	1.0
oct-sam-pre-v2-n010	1	precision	0.842	0.702	0.602	0.441	0.194	0.108	0.962
oct-sam-pre-v2-n010	2	precision	0.78	0.621	0.663	0.544	0.202	0.158	0.967
