Model	Iteration	Value	RNFL	GCIPL	INL	OPL	ONL	EZ	RPE
oct-sam-pretrained-v2	1	precision	0.581	0.515	0.36	0.211	0.001	0.187	0.95
oct-sam-pretrained-v2	2	precision	0.749	0.645	0.4	0.275	0.058	0.153	0.892
oct-sam-pretrained-v2	3	precision	0.967	0.638	0.333	0.271	0.054	0.202	1.0
oct-sam-pretrained-v2	4	precision	0.917	0.68	0.422	0.259	0.153	0.192	0.975
oct-sam-pretrained-v2	1	recall	0.775	0.8	0.45	0.35	0.012	0.115	0.95
oct-sam-pretrained-v2	2	recall	0.842	0.85	0.4	0.4	0.125	0.101	0.95
oct-sam-pretrained-v2	3	recall	0.958	0.9	0.45	0.5	0.154	0.151	1.0
oct-sam-pretrained-v2	4	recall	0.958	0.95	0.5	0.475	0.196	0.151	1.0
oct-sam-pretrained-v2	1	f1-score	0.625	0.584	0.383	0.238	0.002	0.134	0.95
oct-sam-pretrained-v2	2	f1-score	0.732	0.688	0.4	0.306	0.073	0.118	0.908
oct-sam-pretrained-v2	3	f1-score	0.948	0.681	0.367	0.308	0.078	0.163	1.0
oct-sam-pretrained-v2	4	f1-score	0.915	0.724	0.434	0.31	0.15	0.154	0.983
oct-sam-pre-v2-n001	1	precision	0.684	0.766	0.329	0.2	0.2	0.089	0.95
oct-sam-pre-v2-n001	2	precision	0.742	0.642	0.319	0.206	0.189	0.114	0.9
oct-sam-pre-v2-n001	3	precision	0.749	0.677	0.405	0.2	0.232	0.116	0.975
oct-sam-pre-v2-n001	4	precision	0.746	0.701	0.409	0.254	0.189	0.105	0.967
oct-sam-pre-v2-n001	1	recall	0.892	0.95	0.55	0.2	0.192	0.098	0.95
oct-sam-pre-v2-n001	2	recall	0.892	0.95	0.525	0.25	0.258	0.126	0.95
oct-sam-pre-v2-n001	3	recall	0.842	0.95	0.6	0.2	0.271	0.151	1.0
oct-sam-pre-v2-n001	4	recall	0.892	1.0	0.65	0.4	0.258	0.137	1.0
oct-sam-pre-v2-n001	1	f1-score	0.684	0.8	0.37	0.2	0.175	0.076	0.95
oct-sam-pre-v2-n001	2	f1-score	0.728	0.708	0.359	0.211	0.183	0.103	0.917
oct-sam-pre-v2-n001	3	f1-score	0.733	0.745	0.451	0.2	0.205	0.104	0.983
oct-sam-pre-v2-n001	4	f1-score	0.733	0.772	0.46	0.281	0.194	0.097	0.975
oct-sam-pre-v2-n005	1	precision	0.935	0.672	0.602	0.298	0.203	0.121	0.95
oct-sam-pre-v2-n005	2	precision	0.95	0.704	0.615	0.392	0.129	0.08	0.95
oct-sam-pre-v2-n005	3	precision	0.95	0.725	0.61	0.458	0.192	0.133	1.0
oct-sam-pre-v2-n005	4	precision	0.917	0.725	0.576	0.418	0.202	0.118	1.0
oct-sam-pre-v2-n005	1	recall	0.942	0.8	0.7	0.45	0.454	0.121	0.95
oct-sam-pre-v2-n005	2	recall	0.942	0.8	0.725	0.55	0.379	0.141	0.95
oct-sam-pre-v2-n005	3	recall	0.892	0.85	0.725	0.6	0.488	0.128	1.0
oct-sam-pre-v2-n005	4	recall	0.892	0.85	0.75	0.6	0.5	0.151	1.0
oct-sam-pre-v2-n005	1	f1-score	0.908	0.703	0.625	0.323	0.252	0.11	0.95
oct-sam-pre-v2-n005	2	f1-score	0.925	0.728	0.628	0.414	0.18	0.095	0.95
oct-sam-pre-v2-n005	3	f1-score	0.908	0.757	0.623	0.482	0.226	0.11	1.0
oct-sam-pre-v2-n005	4	f1-score	0.883	0.758	0.609	0.449	0.237	0.113	1.0
oct-sam-pre-v2-n010	1	precision	0.942	0.717	0.492	0.423	0.35	0.101	0.95
oct-sam-pre-v2-n010	2	precision	0.9	0.758	0.521	0.474	0.42	0.123	0.95
oct-sam-pre-v2-n010	3	precision	0.942	0.758	0.758	0.446	0.409	0.112	1.0
oct-sam-pre-v2-n010	4	precision	0.958	0.812	0.75	0.457	0.485	0.131	1.0
oct-sam-pre-v2-n010	1	recall	0.958	0.8	0.6	0.55	0.538	0.132	0.95
oct-sam-pre-v2-n010	2	recall	0.983	0.85	0.65	0.6	0.608	0.122	0.95
oct-sam-pre-v2-n010	3	recall	0.958	0.9	0.9	0.75	0.621	0.166	1.0
oct-sam-pre-v2-n010	4	recall	0.958	0.9	0.9	0.7	0.621	0.166	1.0
oct-sam-pre-v2-n010	1	f1-score	0.932	0.742	0.525	0.44	0.378	0.091	0.95
oct-sam-pre-v2-n010	2	f1-score	0.925	0.781	0.553	0.504	0.389	0.107	0.95
oct-sam-pre-v2-n010	3	f1-score	0.937	0.8	0.799	0.509	0.419	0.123	1.0
oct-sam-pre-v2-n010	4	f1-score	0.95	0.837	0.789	0.518	0.463	0.127	1.0
oct-sam-pre-v2-n025	1	precision	0.839	0.708	0.675	0.52	0.422	0.075	0.95
oct-sam-pre-v2-n025	2	precision	0.839	0.574	0.633	0.63	0.378	0.075	0.975
oct-sam-pre-v2-n025	3	precision	0.892	0.635	0.65	0.608	0.356	0.129	0.975
oct-sam-pre-v2-n025	4	precision	0.883	0.664	0.636	0.568	0.439	0.136	0.975
oct-sam-pre-v2-n025	1	recall	0.908	0.8	0.75	0.6	0.462	0.137	1.0
oct-sam-pre-v2-n025	2	recall	0.908	0.75	0.725	0.7	0.571	0.137	1.0
oct-sam-pre-v2-n025	3	recall	0.908	0.8	0.75	0.7	0.621	0.158	1.0
oct-sam-pre-v2-n025	4	recall	0.908	0.8	0.8	0.8	0.608	0.158	1.0
oct-sam-pre-v2-n025	1	f1-score	0.835	0.733	0.7	0.532	0.378	0.093	0.967
oct-sam-pre-v2-n025	2	f1-score	0.835	0.612	0.662	0.642	0.344	0.091	0.983
oct-sam-pre-v2-n025	3	f1-score	0.89	0.675	0.673	0.631	0.336	0.122	0.983
oct-sam-pre-v2-n025	4	f1-score	0.879	0.695	0.67	0.613	0.41	0.128	0.983
oct-sam-pre-v2-n050	1	precision	0.925	0.667	0.65	0.618	0.279	0.041	0.925
oct-sam-pre-v2-n050	2	precision	0.925	0.612	0.704	0.758	0.399	0.093	0.95
oct-sam-pre-v2-n050	3	precision	0.881	0.725	0.768	0.758	0.391	0.093	0.925
oct-sam-pre-v2-n050	4	precision	0.925	0.662	0.667	0.696	0.386	0.122	1.0
oct-sam-pre-v2-n050	1	recall	0.892	0.8	0.8	0.7	0.571	0.05	0.95
oct-sam-pre-v2-n050	2	recall	0.892	0.8	0.8	0.85	0.621	0.115	0.95
oct-sam-pre-v2-n050	3	recall	0.892	0.85	0.85	0.9	0.633	0.137	0.95
oct-sam-pre-v2-n050	4	recall	0.892	0.85	0.75	0.9	0.633	0.151	1.0
oct-sam-pre-v2-n050	1	f1-score	0.9	0.698	0.69	0.63	0.311	0.044	0.933
oct-sam-pre-v2-n050	2	f1-score	0.9	0.662	0.728	0.783	0.369	0.09	0.95
oct-sam-pre-v2-n050	3	f1-score	0.86	0.757	0.79	0.787	0.38	0.104	0.933
oct-sam-pre-v2-n050	4	f1-score	0.9	0.712	0.692	0.739	0.389	0.126	1.0
oct-sam-pre-v2-n100	1	precision	0.908	0.712	0.7	0.705	0.419	0.09	0.967
oct-sam-pre-v2-n100	2	precision	0.883	0.795	0.61	0.679	0.487	0.135	0.957
oct-sam-pre-v2-n100	3	precision	0.833	0.832	0.692	0.762	0.435	0.141	1.0
oct-sam-pre-v2-n100	4	precision	0.908	0.785	0.746	0.753	0.482	0.142	1.0
oct-sam-pre-v2-n100	1	recall	0.917	0.85	0.75	0.75	0.608	0.083	1.0
oct-sam-pre-v2-n100	2	recall	0.933	0.9	0.7	0.75	0.633	0.153	1.0
oct-sam-pre-v2-n100	3	recall	0.917	0.9	0.8	0.85	0.633	0.161	1.0
oct-sam-pre-v2-n100	4	recall	0.933	0.85	0.85	0.8	0.633	0.195	1.0
oct-sam-pre-v2-n100	1	f1-score	0.898	0.753	0.717	0.709	0.397	0.076	0.975
oct-sam-pre-v2-n100	2	f1-score	0.897	0.816	0.633	0.691	0.437	0.127	0.962
oct-sam-pre-v2-n100	3	f1-score	0.848	0.846	0.725	0.771	0.373	0.137	1.0
oct-sam-pre-v2-n100	4	f1-score	0.913	0.8	0.768	0.756	0.425	0.157	1.0
